33.333333333333336,1039,458
66.66666666666667,1043,458
100.0,1046,458
133.33333333333334,1048,459
166.66666666666666,1056,459
200.0,1061,460
266.6666666666667,1076,460
333.3333333333333,1089,458
366.66666666666663,1095,457
433.33333333333337,1116,453
466.6666666666667,1124,451
533.3333333333334,1138,446
666.6666666666666,1164,430
766.6666666666666,1180,416
833.3333333333334,1188,406
866.6666666666667,1191,401
900.0,1194,396
933.3333333333334,1197,391
966.6666666666666,1200,387
1000.0,1203,382
1033.3333333333333,1206,378
1066.6666666666667,1208,374
1100.0,1210,370
1133.3333333333333,1213,367
1166.6666666666667,1216,364
1200.0,1218,360
1233.3333333333335,1220,356
1266.6666666666665,1225,350
1300.0,1227,346
1333.3333333333333,1230,343
1366.6666666666667,1236,335
1400.0,1242,327
1433.3333333333333,1246,322
1466.6666666666665,1249,318
1500.0,1257,308
1533.3333333333333,1261,303
1566.6666666666667,1265,297
1600.0,1270,291
1633.3333333333333,1279,278
1666.6666666666667,1288,263
1700.0,1297,247
1766.6666666666665,1311,221
2333.3333333333335,1470,137
2400.0,1486,140
2433.333333333333,1500,144
2466.666666666667,1506,147
2500.0,1516,152
2533.333333333333,1521,155
2566.6666666666665,1525,158
2600.0,1529,161
2633.3333333333335,1533,165
2666.6666666666665,1536,168
2700.0,1539,170
2733.3333333333335,1542,174
2766.6666666666665,1545,176
2800.0,1548,179
2833.3333333333335,1550,182
2866.6666666666665,1553,185
2900.0,1555,188
2933.333333333333,1557,191
2966.666666666667,1563,198
3000.0,1566,201
3033.333333333333,1569,204
3066.6666666666665,1573,208
3100.0,1580,215
3133.3333333333335,1584,218
3166.6666666666665,1589,223
3200.0,1593,227
3233.3333333333335,1599,231
3266.6666666666665,1604,236
3300.0,1616,246
3333.3333333333335,1623,252
3366.6666666666665,1636,265
4566.666666666666,1671,950
4600.0,1657,965
4633.333333333333,1650,971
4666.666666666667,1641,975
4700.0,1633,981
4800.0,1612,995
4833.333333333333,1598,1003
4866.666666666666,1592,1006
4900.0,1585,1010
4933.333333333334,1572,1017
4966.666666666667,1565,1020
5000.0,1558,1023
5033.333333333333,1552,1027
5066.666666666666,1544,1030
5100.0,1529,1036
5133.333333333333,1521,1039
5166.666666666667,1504,1045
6200.0,421,1050
6266.666666666667,384,1035
7533.333333333333,37,322
7633.333333333333,65,263
7666.666666666667,68,257
7700.0,76,245
7733.333333333333,81,238
7766.666666666667,92,220
7800.0,100,208
7833.333333333333,103,202
7866.666666666666,107,196
7899.999999999999,119,180
7966.666666666667,132,166
8000.0,136,161
8033.333333333333,145,151
8066.666666666666,155,143
8100.0,167,135
8133.333333333333,179,128
8166.666666666666,198,118
8200.0,211,112
8233.333333333332,233,105
